area,intensity_mean,major_axis_length,minor_axis_length,aspect_ratio
256,93.25,19.99501733,17.02155873,1.174687797
90,82.48888889,15.93996916,7.51632629,2.120712772
577,90.63778163,35.32445778,21.75943418,1.623408839
270,95.64074074,20.22943133,17.66905213,1.144907558
153,84.90849673,15.68370299,12.42047516,1.26272971
454,97.28414097,24.40079471,23.72307688,1.028567872
319,93.05015674,21.45362367,19.04671466,1.126368723
152,76.61184211,16.92829115,11.53617076,1.467409896
256,94.67578125,18.84903534,17.28457669,1.090511829
637,95.27472527,47.77285554,20.02830311,2.385267253
325,101.96,21.73551013,19.0481887,1.141080156
310,94.52903226,20.70205944,19.21741672,1.077255062
255,93.54117647,19.88258618,16.39314047,1.212860112
316,105.4208861,20.46735385,19.68092957,1.039958696
307,91.94788274,21.50381682,18.31708959,1.173975632
374,91.79679144,24.53663899,19.45938281,1.260915581
327,98.40978593,21.71409797,19.18060104,1.13208642
718,78.45821727,41.49863343,23.03337478,1.801674042
291,113.8762887,19.52647577,19.00263248,1.02756688
141,79.46808511,14.38242015,12.49840882,1.150740095
356,74.43539326,33.18624031,14.6390586,2.266965467
326,94.8803681,23.8575524,17.67577613,1.349731532
160,95.79375,14.56021978,13.96956513,1.042281534
246,111.6869919,18.65680882,16.77345601,1.112281739
115,85.66086957,18.47712388,8.427745539,2.192415967
264,84.47348485,18.86936752,17.96512282,1.050333344
641,78.21528861,41.81932483,20.80738262,2.009831106
121,88.02479339,20.16427803,8.291349223,2.431965834
248,121.5645161,21.29388345,14.8286441,1.435996663
259,98.22779923,18.9551915,17.52107926,1.081850679
323,103.2167183,21.37957497,19.25850968,1.110136523
292,122.2636986,23.75522711,15.79691239,1.503789255
300,111.3033333,20.43425643,18.77914469,1.088135629
301,96.42192691,20.44758055,18.74624107,1.0907563
442,92.66289593,33.73433687,18.03512184,1.87048012
314,81.2866242,21.11912289,19.02641306,1.109989719
285,114.954386,19.54500301,18.59904314,1.050860674
315,100.9047619,21.84332764,18.40514138,1.186805751
177,82.17514124,15.76416066,14.30939169,1.101665326
179,79.24581006,15.91069885,14.37322581,1.106967849
48,77.75,8.202178917,7.440175096,1.102417458
288,106.6041667,20.07655684,18.29428602,1.097422268
167,94.41916168,15.29819536,13.88599384,1.101699708
292,99.8390411,19.8559062,18.75412202,1.058748907
311,105.2765273,21.08386918,18.85071272,1.11846536
323,110.7770898,24.28411787,17.47433999,1.389701578
334,87.36826347,23.82728524,17.87039896,1.333338181
350,116.0628571,23.55576323,18.99512489,1.240095201
280,108.4,19.48770202,18.30094457,1.064846787
327,103.3975535,21.36037724,19.50132435,1.095329571
327,97.40366972,21.64944817,19.27430501,1.123228472
361,93.37119114,24.60555857,18.7070017,1.315312788
293,100.2798635,20.2854958,18.5016122,1.096417738
310,94.99032258,23.15450869,17.07247716,1.356247748
254,103.6377953,20.58303496,15.71762111,1.309551542
335,98.47462687,21.24735163,20.13986055,1.054990007
243,103.5967078,19.97775722,15.91973559,1.25490509
377,93.65251989,23.35068354,20.57667552,1.134813227
333,114.4834835,21.70204271,19.5764657,1.10857818
305,88.25245902,20.22653239,19.24421005,1.051045085
593,89.90556492,36.50837048,21.36539378,1.708761882
289,106.8512111,20.42780871,18.22145247,1.121085641
277,100.6642599,20.30796529,17.43291959,1.164920494
46,70.86956522,11.64889543,5.298002515,2.198733466
