area,intensity_mean,major_axis_length,minor_axis_length,aspect_ratio,file_name
139,96.54676259,17.50410401,10.2927697,1.70062136,20P1_POS0010_D_1UL
360,86.61388889,35.74680768,14.98312426,2.385804659,20P1_POS0010_D_1UL
43,91.48837209,12.96788442,4.351573407,2.980044965,20P1_POS0010_D_1UL
140,73.74285714,18.94050837,10.31440443,1.83631624,20P1_POS0010_D_1UL
144,89.375,13.63930773,13.45853236,1.013432027,20P1_POS0010_D_1UL
194,85.72680412,17.90434696,13.82984942,1.29461619,20P1_POS0010_D_1UL
251,100.0398406,19.59960381,16.30411403,1.202126272,20P1_POS0010_D_1UL
310,106.1451613,21.68348763,18.35228668,1.181514217,20P1_POS0010_D_1UL
276,113.8224638,21.49587402,16.38949971,1.31156377,20P1_POS0010_D_1UL
160,98.30625,15.04257295,13.54106251,1.110885718,20P1_POS0010_D_1UL
283,110.2438163,19.82178058,18.25604373,1.085765398,20P1_POS0010_D_1UL
539,93.82931354,30.75560175,23.86964025,1.288481998,20P1_POS0010_D_1UL
237,96.18987342,20.41073678,14.83203512,1.376125165,20P1_POS0010_D_1UL
51,64.23529412,8.505998926,7.608358631,1.117980808,20P1_POS0010_D_1UL
211,94.84834123,18.74314548,14.35375932,1.305800457,20P1_POS0010_D_1UL
402,101.4527363,24.25603866,22.37062728,1.084280667,20P1_POS0010_D_1UL
156,81.39102564,16.09112371,12.36945499,1.300875723,20P1_POS0010_D_1UL
278,115.7266187,21.44453279,16.66114148,1.287098655,20P1_POS0010_D_1UL
273,108.3296703,19.89817937,17.48026603,1.138322456,20P1_POS0010_D_1UL
972,98.72016461,57.31103495,25.5023541,2.247284103,20P1_POS0010_D_1UL
320,120.04375,22.67697926,18.03965907,1.257062519,20P1_POS0010_D_1UL
305,104.2688525,21.09018439,18.41775182,1.145100911,20P1_POS0010_D_1UL
326,114.3067485,22.07441256,18.80848118,1.17364142,20P1_POS0010_D_1UL
207,81.94202899,19.11287595,14.11734515,1.353857666,20P1_POS0010_D_1UL
294,114.4761905,19.7177777,19.05302222,1.034889766,20P1_POS0010_D_1UL
224,88.33482143,18.16615339,15.69558924,1.157404995,20P1_POS0010_D_1UL
213,95.05633803,17.24876979,15.74682632,1.095380709,20P1_POS0010_D_1UL
327,93.26911315,22.54114086,18.5781835,1.213312424,20P1_POS0010_D_1UL
319,105.5830721,21.04530156,19.31001227,1.089864743,20P1_POS0010_D_1UL
291,110.1030928,19.60688318,18.97935324,1.033063821,20P1_POS0010_D_1UL
263,102.3307985,19.3948345,17.28272373,1.12220937,20P1_POS0010_D_1UL
238,105.4747899,18.37158206,16.96009368,1.083224091,20P1_POS0010_D_1UL
250,100.256,18.95328718,16.78921681,1.128896446,20P1_POS0010_D_1UL
277,118.2093863,21.73074014,16.2409953,1.33801776,20P1_POS0010_D_1UL
264,88.06060606,20.92467079,16.12063476,1.298005388,20P1_POS0010_D_1UL
226,93.76548673,18.07876584,15.98698808,1.130842517,20P1_POS0010_D_1UL
267,107.5468165,19.0661401,17.88121627,1.0662664,20P1_POS0010_D_1UL
300,104.2133333,21.47445636,17.8176564,1.205234621,20P1_POS0010_D_1UL
290,92.9137931,24.74551721,14.9985119,1.649864825,20P1_POS0010_D_1UL
282,104.8794326,20.70344031,17.41327927,1.188945516,20P1_POS0010_D_1UL
307,101.1042345,20.15554708,19.45870689,1.035811228,20P1_POS0010_D_1UL
84,86.86904762,14.82486664,7.622393334,1.944909688,20P1_POS0010_D_1UL
315,91.13333333,20.92709533,19.20928278,1.089426168,20P1_POS0010_D_1UL
206,94.26213592,23.38187856,11.66966783,2.003645597,20P1_POS0010_D_1UL
45,68.37777778,9.406371344,6.276444725,1.498678274,20P1_POS0010_D_1UL
33,76.72727273,10.72427534,4.174567838,2.568954622,20P1_POS0010_D_1UL
16,76.75,7.745966692,2.783882181,2.782433375,20P1_POS0010_D_1UL
256,93.25,19.99501733,17.02155873,1.174687797,20P1_POS0007_D_1UL
90,82.48888889,15.93996916,7.51632629,2.120712772,20P1_POS0007_D_1UL
577,90.63778163,35.32445778,21.75943418,1.623408839,20P1_POS0007_D_1UL
