 ;Area;Mean;StdDev;Min;Max;X;Y;XM;YM;Major;Minor;Angle;%Area;Type
1;18;730.389;103.354;592;948;435.000;4.722;434.962;4.697;5.987;3.828;168.425;100;A
2;126;718.333;90.367;556;1046;388.087;8.683;388.183;8.687;16.559;9.688;175.471;100;A
3;;;;608;964;;;;7.665;7.359;;101.121;100;A
4;68;686.985;61.169;571;880;126.147;8.809;126.192;8.811;15.136;5.720;168.133;100;A
5;;;69.438;566;792;348.500;7.500;;7.508;;3.088;;100;A
6;669;697.164;72.863;539;957;471.696;26.253;471.694;26.197;36.656;23.237;124.340;100;A
7;5;658.600;49.161;607;710;28.300;8.100;28.284;8.103;3.144;2.025;161.565;100;A
8;7;677.571;49.899;596;768;415.357;8.786;415.360;8.804;4.110;2.168;112.500;100;A
9;14;691.071;63.873;586;808;493.286;9.000;493.295;9.016;5.120;3.481;38.802;100;C
10;39;763.615;88.786;623;1016;157.526;12.731;157.592;12.757;8.815;5.633;46.437;100;C
11;237;702.637;86.661;551;1246;360.175;18.445;360.064;18.427;24.409;12.362;163.931;100;C
12;30;676.600;55.023;575;783;90.133;14.867;90.136;14.890;6.529;5.850;135.000;100;C
13;15;790.600;88.102;692;1025;216.967;15.167;216.942;15.200;5.157;3.703;58.147;100;A
14;39;695.795;74.488;562;915;422.756;15.808;422.774;15.782;10.014;4.959;20.965;100;A
15;1;825.000;0;825;825;432.500;14.500;432.500;14.500;1.128;1.128;0;100;A
16;23;658.565;86.761;536;852;3.978;18.935;4.012;18.930;6.797;4.308;153.573;100;A
17;188;733.984;85.946;540;949;403.846;24.245;403.777;24.228;18.241;13.122;164.073;100;A
18;5;757.400;60.148;680;826;146.900;18.300;146.893;18.303;3.144;2.025;71.565;100;A
19;97;759.412;91.428;569;992;201.448;21.778;201.454;21.711;16.436;7.514;10.130;100;A
20;10;736.700;81.110;573;826;314.800;18.800;314.815;18.806;3.975;3.203;45.000;100;A
21;12;697.250;65.011;603;786;331.000;19.167;331.006;19.163;4.424;3.454;127.238;100;A
22;367;748.188;97.533;574;1059;143.606;32.851;143.523;32.627;26.730;17.482;103.131;100;A
23;35;730.971;87.308;582;953;260.100;23.500;260.083;23.437;8.218;5.422;133.401;100;A
24;17;718.471;78.361;602;875;420.735;23.441;420.727;23.489;5.377;4.025;82.868;100;A
25;45;693.511;80.795;547;878;18.767;28.033;18.762;27.981;8.826;6.492;59.030;100;A
26;123;679.154;68.724;553;888;107.524;30.093;107.524;30.062;13.963;11.216;151.480;100;A
27;105;708.486;83.171;555;1016;335.129;30.300;335.115;30.287;15.566;8.589;160.080;100;A
28;135;673.704;68.508;526;866;81.174;32.115;81.152;32.128;19.787;8.687;178.542;100;A
29;13;686.308;37.915;612;733;380.115;28.423;380.084;28.415;4.616;3.586;127.839;100;A
30;8;676.250;54.798;596;748;32.750;28.375;32.772;28.377;4.444;2.292;35.355;100;A
31;92;707.446;72.455;558;901;422.804;32.750;422.793;32.741;12.681;9.238;72.834;100;A
32;85;683.506;62.879;533;822;493.065;36.406;493.081;36.399;15.792;6.853;67.315;100;A
33;101;695.287;65.223;567;866;371.054;37.163;371.073;37.159;12.339;10.422;65.081;100;A
34;74;691.703;71.047;567;922;445.797;37.851;445.783;37.857;12.531;7.519;19.005;100;A
